,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
251,our beloved summer,tt15026724,series,"A coming of age, romantic comedy revolving around ex-lovers who broke up with a promise never to meet again. But the documentary they filmed ten years ago gets the fame and they are by compulsion facing camera once more.",2021–,TV-Y7,51S min,"Drama, Romance",South Korea,tt15026724,8.3,"6,092",our beloved summer
252,transformers: revenge of the fallen,tt1055369,movie,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",2009,PG-13,149 min,"Action, Adventure, Sci-Fi",United States,tt1055369,5.9,"407,313",transformers: revenge of the fallen
253,the medium,tt13446168,movie,A horrifying story of a shaman's inheritance in the Isan region of Thailand. What could be possessing a family member might not be the Goddess they make it out to be.,2021,N/A,130 min,Horror,"Thailand, South Korea",tt13446168,6.5,"8,779",the medium
254,boruto: naruto next generations,tt6342474,series,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's...",2017–,TV-14,23 min,"Animation, Action, Adventure",Japan,tt6342474,6.8,"21,230",boruto: naruto next generations
255,munich: the edge of war,tt7475578,movie,"A British diplomat travels to Munich in the run-up to World War II, where a former classmate of his from Oxford is also en route, but is working for the German government.",2021,PG-13,130 min,"Biography, Drama, History","United Kingdom, United States",tt7475578,6.8,"30,454",munich: the edge of war
256,the secret life of pets 2,tt5113040,movie,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day.",2019,PG,86 min,"Animation, Adventure, Comedy",United States,tt5113040,6.4,"62,541",the secret life of pets 2
257,hotel transylvania 3: summer vacation,tt5220122,movie,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",2018,PG,97 min,"Animation, Adventure, Comedy","United States, South Korea",tt5220122,6.3,"74,229",hotel transylvania 3: summer vacation
258,the possession of hannah grace,tt5734576,movie,"When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses.",2018,R,86 min,"Horror, Mystery, Thriller",United States,tt5734576,5.2,"23,326",the possession of hannah grace
259,a perfect enemy,tt9421200,movie,"A successful architect is approached on his trip to the Paris Airport by a chatty girl. Although the meeting seems fortuitous, soon there be a turn that will transform the encounter into something much more sinister and criminal.",2020,N/A,89 min,"Adventure, Drama, Thriller","Spain, Germany, France",tt9421200,5.5,"3,012",a perfect enemy
260,rogue city,tt10127684,movie,"Caught in the cross hairs of police corruption and Marseille's warring gangs, a loyal cop must protect his squad by taking matters into his own hands.",2020,TV-MA,116 min,"Action, Crime, Drama",France,tt10127684,6.1,"8,846",rogue city
261,carinha de anjo,tt6267820,series,"Follows the life of a sweet, cheerful 5-year-old girl named Dulce Maria who lives in a rural Catholic boarding school with other girls and friendly nuns, after her mother tragically dies in an accident. One day her widower father ...",2016–,N/A,N/A,"Family, Musical",Brazil,tt6267820,7.2,94,carinha de anjo
262,mother/android,tt13029044,movie,"In a post-apocalyptic world rocked by a violent android uprising, a young pregnant woman and her boyfriend desperately search for safety.",2021,R,110 min,"Drama, Sci-Fi, Thriller",United States,tt13029044,4.9,"18,882",mother/android
263,yeh kaali kaali ankhein,tt14160712,series,"Aggressively pursued by a politician's daughter who will do anything to marry him, a small-town man takes drastic measures to reclaim his life.",2022–,TV-MA,2 min,"Comedy, Crime, Mystery",India,tt14160712,7.0,"7,569",yeh kaali kaali ankhein
264,just go with it,tt1564367,movie,"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",2011,PG-13,117 min,"Comedy, Romance",United States,tt1564367,6.4,"245,212",just go with it
265,tides,tt5514674,movie,"A devastating loss finds four friends navigating love, life and the canals of southern England.",2017,N/A,99 min,Drama,United Kingdom,tt5514674,6.9,44,tides
266,the clovehitch killer,tt6269368,movie,A picture-perfect family is shattered when the work of a serial killer hits too close to home.,2018,Unrated,109 min,"Crime, Drama, Mystery",United States,tt6269368,6.5,"28,338",the clovehitch killer
267,sin nombre,tt1127715,movie,A young Honduran girl and a Mexican gangster are united in a journey across the American border.,2009,R,96 min,"Adventure, Crime, Drama",Mexico,tt1127715,7.5,"32,971",sin nombre
268,journey 2: the mysterious island,tt1397514,movie,"Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.",2012,PG,94 min,"Action, Adventure, Comedy",United States,tt1397514,5.7,"104,982",journey 2: the mysterious island
269,the longest yard,tt0398165,movie,Prison inmates form a football team to challenge the prison guards.,2005,PG-13,113 min,"Comedy, Crime, Sport",United States,tt0398165,6.4,"179,957",the longest yard
270,stand by me doraemon 2,tt13428402,movie,"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?",2020,Not Rated,96 min,"Animation, Comedy, Drama",Japan,tt13428402,7.5,"3,999",stand by me doraemon 2
271,daughter from another mother,tt11937732,series,"After finding out their babies were switched at birth, two women develop a plan to adjust to their new lives creating a single and very peculiar family.",2021–,TV-MA,2 min,"Comedy, Drama",Mexico,tt11937732,7.3,"1,879",daughter from another mother
272,spider-man: homecoming,tt2250912,movie,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.",2017,PG-13,133 min,"Action, Adventure, Sci-Fi",United States,tt2250912,7.4,"651,398",spider-man: homecoming
273,fast & furious 6,tt1905041,movie,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.",2013,PG-13,130 min,"Action, Crime, Thriller","United States, Japan, Spain, United Kingdom",tt1905041,7.0,"394,699",fast & furious 6
274,spider-man,tt0145487,movie,"After being bitten by a genetically-modified spider, a shy teenager gains spider-like abilities that he uses to fight injustice as a masked superhero and face a vengeful enemy.",2002,PG-13,121 min,"Action, Adventure, Sci-Fi",United States,tt0145487,7.4,"813,310",spider-man
275,intervenção,tt13727594,movie,"When an idealistic young woman joins a Pacifying Police Unit, she comes face to face with the instability of daily life in Rio de Janeiro's favelas.",2015,N/A,4 min,"Short, Drama",Brazil,tt13727594,N/A,64,intervenção
276,titans,tt1043813,series,A team of young superheroes combat evil and other perils.,2018–,TV-MA,45 min,"Action, Adventure, Crime",United States,tt1043813,7.6,"99,077",titans
277,paw patrol,tt3121722,series,"Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker.",2013–,TV-Y,23 min,"Animation, Adventure, Comedy","United States, Canada",tt3121722,6.1,"3,352",paw patrol
278,the king's affection,tt14609428,series,"The story is set during the Joseon Dynasty when twins were considered an ominous sign. When the Crown Princess Consort gives birth to twins, an order is sent to kill the daughter. To save her, she is secretly sent out of the palace.",2021–,TV-PG,1 min,"Drama, Romance",South Korea,tt14609428,7.9,"3,409",the king's affection
279,john wick: chapter 3 - parabellum,tt6146586,movie,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",2019,R,130 min,"Action, Crime, Thriller",United States,tt6146586,7.4,"339,578",john wick: chapter 3 - parabellum
280,the lord of the rings: the two towers,tt0167261,movie,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,PG-13,179 min,"Action, Adventure, Drama","New Zealand, United States",tt0167261,8.8,"1,653,467",the lord of the rings: the two towers
281,escape from mogadishu,tt14810692,movie,In 1991 war-torn Somalia the personnel and the families of both the South Korean and the North Korean embassies have the same goal: to escape from Mogadishu.,2021,TV-14,121 min,"Action, Drama, Thriller",South Korea,tt14810692,7.0,"5,268",escape from mogadishu
282,single all the way,tt14315756,movie,"Desperate to avoid his family's judgment about his perpetual single status, Peter convinces his best friend Nick to join him for the holidays and pretend that they're now in a relationship.",2021,TV-PG,99 min,"Comedy, Drama, Romance",United States,tt14315756,6.1,"15,557",single all the way
283,a castle for christmas,tt13070602,movie,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle - and faces off with the grumpy duke who owns it.",2021,TV-G,98 min,"Adventure, Comedy, Drama","United Kingdom, United States",tt13070602,5.5,"12,223",a castle for christmas
284,redemption day,tt4439620,movie,"When the love of his life is kidnapped and held for ransom by terrorists, a war hero Brad Paxton races against the clock to rescue her in a daring and deadly operation that pits him against the most powerful and shadowy forces.",2021,R,99 min,"Action, Drama, Thriller",United States,tt4439620,4.6,"23,757",redemption day
285,jurassic world: camp cretaceous,tt10436228,series,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,2020–2022,TV-PG,1 min,"Animation, Action, Adventure",United States,tt10436228,7.5,"8,904",jurassic world: camp cretaceous
286,the croods,tt0481499,movie,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.",2013,PG,98 min,"Animation, Adventure, Comedy",United States,tt0481499,7.2,"215,038",the croods
287,jack reacher: never go back,tt3393786,movie,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.,2016,PG-13,118 min,"Action, Crime, Drama","China, United States",tt3393786,6.1,"159,652",jack reacher: never go back
288,central intelligence,tt1489889,movie,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage.",2016,PG-13,107 min,"Action, Comedy, Crime","United States, China",tt1489889,6.3,"190,491",central intelligence
289,earwig and the witch,tt12441478,movie,"An orphan girl, Earwig, is adopted by a witch and comes home to a spooky house filled with mystery and magic.",2020,PG,82 min,"Animation, Adventure, Family",Japan,tt12441478,4.8,"4,472",earwig and the witch
290,sinkhole,tt12664618,movie,A working class family move into a new condo purchased after 11 years of hard work. They throw a housewarming party to show his co-workers when overnight a heavy downpour creates an extremely deep sinkhole that engulfs the entire ...,2021,N/A,117 min,"Action, Comedy, Drama",South Korea,tt12664618,6.2,"1,804",sinkhole
291,edens zero,tt13167196,series,"A young boy cut off from the world meets his friends and sets off on a hard, long journey to be reborn.",2021–,TV-14,1 min,"Animation, Action, Adventure",Japan,tt13167196,7.2,"1,458",edens zero
292,trolls,tt1679335,movie,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",2016,PG,92 min,"Animation, Adventure, Comedy",United States,tt1679335,6.4,"82,269",trolls
293,211,tt4976192,movie,"While on a routine patrol, an aging cop, his partner and their ride-along, get caught in a standoff with a band of former mercenaries robbing a bank.",2018,R,86 min,"Action, Drama, Thriller","United States, Bulgaria",tt4976192,4.4,"8,489",211
294,transformers: the last knight,tt3371366,movie,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space.",2017,PG-13,154 min,"Action, Adventure, Sci-Fi","United States, China, Canada",tt3371366,5.2,"151,978",transformers: the last knight
295,jumanji: the next level,tt7975244,movie,"In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most danger...",2019,PG-13,123 min,"Action, Adventure, Comedy",United States,tt7975244,6.7,"249,093",jumanji: the next level
296,where is marta?,tt15796898,series,"Teenager Marta del Castillo's disappearance made headlines in Spain. Family, friends, police and more weigh in on a case that is still unresolved.",2021,N/A,N/A,"Documentary, Crime, Mystery",Spain,tt15796898,6.8,"1,339",where is marta?
297,the club,tt4375438,movie,"A crisis counselor is sent by the Catholic Church to a small Chilean beach town where disgraced Priests and nuns, suspected of crimes ranging from child abuse to baby-snatching from unwed mothers, live secluded, after an incident ...",2015,Not Rated,98 min,"Drama, Mystery, Thriller",Chile,tt4375438,7.2,"11,244",the club
298,21 jump street,tt1232829,movie,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,2012,R,109 min,"Action, Comedy, Crime",United States,tt1232829,7.2,"556,200",21 jump street
299,the girl in the spider's web,tt5177088,movie,"Young computer hacker Lisbeth Salander and journalist Mikael Blomkvist find themselves caught in a web of spies, cybercriminals and corrupt government officials.",2018,R,115 min,"Action, Crime, Drama","Germany, United Kingdom, Canada, Sweden, United States",tt5177088,6.1,"48,117",the girl in the spider's web
300,monk comes down the mountain,tt3594826,movie,"A monk leaves his monastery and ventures out into the real world for the first time in his life, and ends up in an adventure with a kung-fu master who is guarding a special artifact.",2015,Not Rated,123 min,Action,"China, United States",tt3594826,5.5,"2,088",monk comes down the mountain
301,luis miguel: the series,tt8045690,series,"The series dramatizes the life story of Mexican superstar singer Luis Miguel, who has captivated audiences in Latin America and beyond for decades.",2018–2021,TV-MA,1 min,"Biography, Drama, History",Mexico,tt8045690,8.1,"4,763",luis miguel: the series
302,king arthur: legend of the sword,tt1972591,movie,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",2017,PG-13,126 min,"Action, Adventure, Drama","United Kingdom, United States, Australia",tt1972591,6.7,"217,040",king arthur: legend of the sword
303,bloodshot,tt1634106,movie,"Ray Garrison, a slain soldier, is re-animated with superpowers.",2020,PG-13,109 min,"Action, Adventure, Sci-Fi",United States,tt1634106,5.7,"77,969",bloodshot
304,a dog's journey,tt8385474,movie,A dog finds the meaning of his own existence through the lives of the humans he meets.,2019,PG,109 min,"Adventure, Comedy, Drama","China, India, Hong Kong, United States",tt8385474,7.4,"24,934",a dog's journey
305,venom,tt1270797,movie,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",2018,PG-13,112 min,"Action, Adventure, Sci-Fi","United States, China",tt1270797,6.6,"481,692",venom
306,friendzone,tt14700948,movie,Hopeful romantic Thibault believes his luck could change when sparks fly between him and Rose. But can he go from bestie to boyfriend.,2021,TV-MA,88 min,"Comedy, Romance",France,tt14700948,5.9,"3,559",friendzone
307,what happens in vegas,tt1033643,movie,"A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",2008,PG-13,99 min,"Comedy, Romance",United States,tt1033643,6.1,"177,645",what happens in vegas
308,unfaithful,tt0250797,movie,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.,2002,R,124 min,"Drama, Romance, Thriller","France, Germany, United States",tt0250797,6.7,"90,382",unfaithful
309,going in style,tt2568862,movie,"Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.",2017,PG-13,96 min,"Comedy, Crime",United States,tt2568862,6.6,"86,041",going in style
310,street kings,tt0421073,movie,"An undercover cop, disillusioned by the death of his wife, is implicated in the murder of an officer and must struggle to clear himself.",2008,R,109 min,"Action, Crime, Thriller",United States,tt0421073,6.8,"114,570",street kings
311,beauty and the beast,tt0101414,movie,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,1991,G,84 min,"Animation, Family, Fantasy",United States,tt0101414,8.0,"453,816",beauty and the beast
312,redemption,tt1893256,movie,A damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity.,2013,R,100 min,"Action, Crime, Drama","United Kingdom, United States",tt1893256,6.2,"72,889",redemption
313,knight and day,tt1013743,movie,A young woman gets mixed up with a disgraced spy who is trying to clear his name.,2010,PG-13,109 min,"Action, Adventure, Comedy",United States,tt1013743,6.3,"197,116",knight and day
314,anything for a pop star,tt8696442,movie,"When the pop band Slavabody Disco Disco Boys announces that it will play in Brazil, teenage best friends--Gabi, Manu, and Ritinha--who are major fans are determined that their parents should let them attend the out-of-town concert.",2018,N/A,115 min,"Comedy, Family, Music",Brazil,tt8696442,4.8,242,anything for a pop star
315,violet evergarden: the movie,tt8652818,movie,"After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you.""",2020,Not Rated,140 min,"Animation, Drama, Fantasy",Japan,tt8652818,8.3,"6,818",violet evergarden: the movie
316,ride along 2,tt2869728,movie,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",2016,PG-13,102 min,"Action, Comedy, Crime",United States,tt2869728,5.9,"59,208",ride along 2
317,heat,tt0113277,movie,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,1995,R,170 min,"Action, Crime, Drama",United States,tt0113277,8.3,"651,629",heat
318,mr. & mrs. smith,tt0356910,movie,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.,2005,PG-13,120 min,"Action, Comedy, Crime",United States,tt0356910,6.5,"496,603",mr. & mrs. smith
319,luccas neto em: o mapa do tesouro 2,tt15268100,movie,"Luccas Neto and Giovanni goes to find a tresure map. To get that map, they have to teamwork and superate obstacules.",2021,N/A,80 min,Family,Brazil,tt15268100,N/A,18,luccas neto em: o mapa do tesouro 2
320,britney vs spears,tt15469820,movie,Journalist Jenny Eliscu and filmmaker Erin Lee Carr investigate Britney Spears' fight for freedom by way of exclusive interviews and confidential evidence.,2021,TV-MA,93 min,"Documentary, Biography, Music",United States,tt15469820,6.4,"7,175",britney vs spears
321,man on fire,tt0328107,movie,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",2004,R,146 min,"Action, Crime, Drama","Switzerland, United Kingdom, United States, Mexico",tt0328107,7.7,"362,726",man on fire
322,je suis karl,tt9205538,movie,"Maxi, the survivor of a terrorist attack, joins the beguiling student Karl and becomes part of a European youth movement; one that aims for nothing less than seizing power.",2021,TV-MA,126 min,"Drama, Romance, Thriller","Germany, Czech Republic",tt9205538,5.5,"1,183",je suis karl
323,blood diamond,tt0450259,movie,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",2006,R,143 min,"Adventure, Drama, Thriller","United States, Germany, United Kingdom",tt0450259,8.0,"547,694",blood diamond
324,safe house,tt1599348,movie,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",2012,R,115 min,"Action, Thriller","South Africa, United States, Japan",tt1599348,6.7,"223,568",safe house
325,the marksman,tt6902332,movie,A rancher on the Arizona border becomes the unlikely defender of a young Mexican boy desperately fleeing the cartel assassins who've pursued him into the U.S.,2021,PG-13,108 min,"Action, Crime, Drama",United States,tt6902332,5.6,"34,058",the marksman
326,the equalizer 2,tt3766354,movie,"Robert McCall serves an unflinching justice for the exploited and oppressed, but how far will he go when that is someone he loves?",2018,R,121 min,"Action, Crime, Thriller",United States,tt3766354,6.7,"159,539",the equalizer 2
327,o candidato honesto 2,tt8837044,movie,"Brazilian politician João Ernesto (Leandro Hassum) surrenders to justice and is arrested for corruption, before attempting to overturn with sincerity and real proposals.",2018,N/A,104 min,Comedy,Brazil,tt8837044,5.0,360,o candidato honesto 2
328,ilhados,tt0930862,movie,N/A,2002,N/A,30 min,"Documentary, Short",Brazil,tt0930862,N/A,N/A,ilhados
329,love of my loves,tt3344928,movie,"Days before her wedding, a woman believes she's falling in love with a stranger who is also headed for the altar, and their lives change dramatically",2014,N/A,95 min,Comedy,Mexico,tt3344928,6.2,955,love of my loves
330,kung fu hustle,tt0373074,movie,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",2004,R,99 min,"Action, Comedy, Fantasy","Hong Kong, China, United States",tt0373074,7.7,"140,289",kung fu hustle
331,amores perros,tt0245712,movie,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",2000,R,154 min,"Drama, Thriller",Mexico,tt0245712,8.1,"240,473",amores perros
332,carrossel,tt2215338,series,"The adventures of a group of schoolchildren, taught and guided by a sweet-hearted, careful teacher.",2012–,TV-G,N/A,"Adventure, Comedy, Drama",Brazil,tt2215338,6.7,305,carrossel
333,in time,tt1637688,movie,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on t...",2011,PG-13,109 min,"Action, Sci-Fi, Thriller",United States,tt1637688,6.7,"411,413",in time
334,noah,tt1959490,movie,Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,2014,PG-13,138 min,"Action, Adventure, Drama",United States,tt1959490,5.8,"255,680",noah
335,monte carlo,tt1067774,movie,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,2011,PG,109 min,"Adventure, Comedy, Family",United States,tt1067774,5.8,"45,386",monte carlo
336,invasion,tt9737326,series,Earth is visited by an alien species that threatens humanity's existence. Events unfold in real time through the eyes of five ordinary people across the globe as they struggle to make sense of the chaos unraveling around them.,2021–,TV-MA,N/A,"Drama, Fantasy, Sci-Fi",United States,tt9737326,6.0,"27,392",invasion
337,out of my league,tt11154906,movie,"Marta may be an orphan, and she may be affected by a lethal illness, yet she is the most positive person one can meet. She wants a boy to fall for her. Not any boy - the most handsome of them all. One day, she may have found her m...",2020,TV-MA,91 min,"Comedy, Drama, Romance",Italy,tt11154906,6.1,"2,876",out of my league
338,lassie come home,tt0036098,movie,"After her destitute family is forced to sell her, a collie named Lassie escapes from her new owner and begins the long trek from Scotland to her Yorkshire home.",1943,Passed,89 min,"Adventure, Drama, Family",United States,tt0036098,7.1,"5,540",lassie come home
339,the secret life of pets,tt2709768,movie,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.",2016,PG,87 min,"Animation, Adventure, Comedy","United States, Japan",tt2709768,6.5,"202,619",the secret life of pets
340,"welcome home, roscoe jenkins",tt0494652,movie,"Dr. RJ Stevens is a talk show host who visits his family in the deep south. While there he reunites with his brother Otis, his sister Betty, his cousin/rival Clyde and his childhood love interest Lucinda Allen.",2008,PG-13,114 min,"Comedy, Romance",United States,tt0494652,5.5,"14,915","welcome home, roscoe jenkins"
341,green lantern,tt1133985,movie,"Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",2011,PG-13,114 min,"Action, Adventure, Sci-Fi",United States,tt1133985,5.5,"285,559",green lantern
342,flu,tt2351310,movie,"Chaos ensues when a lethal, airborne virus infects the population of a South Korean city less than 20 kilometers from Seoul.",2013,Not Rated,122 min,"Action, Drama, Sci-Fi",South Korea,tt2351310,6.6,"13,488",flu
343,thimmarusu: assignment vali,tt13310936,movie,A lawyer battles corruption both inside and outside the courtroom.,2021,N/A,127 min,"Crime, Drama, Thriller",India,tt13310936,7.1,"1,599",thimmarusu: assignment vali
344,i don't know whether to slit my wrists or leave them long,tt2539482,movie,"This comedy drama features two couples living in the same building, Lucas &amp; Julia the catholics, Aaron &amp; Nora the jewish and Lola the world traveler spanish. The story takes place at the arrival of a new renter the ex soccer playe...",2013,N/A,103 min,"Comedy, Drama",Mexico,tt2539482,7.0,"1,823",i don't know whether to slit my wrists or leave them long
345,d.p.,tt13024974,series,A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.,2021–,TV-MA,1 min,"Action, Crime, Drama",South Korea,tt13024974,8.2,"5,531",d.p.
346,tomb raider,tt1365519,movie,"Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",2018,PG-13,119 min,"Action, Adventure, Fantasy","United Kingdom, United States",tt1365519,6.3,"214,674",tomb raider
347,el infierno,tt11312390,movie,"At the age of 15, Chennu committed his first crime: being a street child. And he walked into hell: Pademba Road Prison. Hell is ruled by Mr. Sillah, and the prisoners abandon all hope. Chennu got out after 4 years. And now he want...",2019,N/A,22 min,Short,Spain,tt11312390,N/A,6,el infierno
348,mimi,tt10895576,movie,Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,2021,TV-14,132 min,"Comedy, Drama",India,tt10895576,7.9,"39,231",mimi
349,for life,tt10327830,series,A prisoner becomes a lawyer and fights to overturn his life sentence for a crime he didn't commit.,2020–2021,TV-14,43 min,"Biography, Crime, Drama",United States,tt10327830,7.6,"8,482",for life
350,alvin and the chipmunks: chipwrecked,tt1615918,movie,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",2011,G,87 min,"Animation, Adventure, Comedy",United States,tt1615918,4.3,"35,863",alvin and the chipmunks: chipwrecked
351,sputnik,tt11905962,movie,The lone survivor of an enigmatic spaceship incident hasn't returned home alone - hiding inside his body is a dangerous creature.,2020,Not Rated,113 min,"Drama, Horror, Mystery",Russia,tt11905962,6.4,"24,426",sputnik
352,the good doctor,tt6470478,series,"Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.",2017–,TV-14,41 min,Drama,United States,tt6470478,8.1,"94,112",the good doctor
353,dead man down,tt2101341,movie,"In New York City, a crime lord's right-hand man is helped by a woman seeking retribution.",2013,R,118 min,"Action, Crime, Drama",United States,tt2101341,6.4,"68,366",dead man down
354,the losers,tt0480255,movie,"A CIA special forces team is betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",2010,PG-13,97 min,"Action, Adventure, Comedy","United States, France",tt0480255,6.3,"102,373",the losers
355,world trade center,tt0469641,movie,Two Port Authority police officers become trapped under the rubble of the World Trade Center.,2006,PG-13,129 min,"Drama, History, Thriller","Germany, United States",tt0469641,6.0,"84,290",world trade center
356,twilight,tt1099212,movie,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.",2008,PG-13,122 min,"Drama, Fantasy, Romance",United States,tt1099212,5.3,"461,221",twilight
357,the twilight saga: breaking dawn - part 2,tt1673434,movie,"After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",2012,PG-13,115 min,"Adventure, Drama, Fantasy",United States,tt1673434,5.5,"249,388",the twilight saga: breaking dawn - part 2
358,the twilight saga: new moon,tt1259571,movie,"Edward leaves Bella after an attack that nearly claimed her life, and, in her depression, she falls into yet another difficult relationship - this time with her close friend, Jacob Black.",2009,PG-13,130 min,"Adventure, Drama, Fantasy",United States,tt1259571,4.7,"284,987",the twilight saga: new moon
359,words bubble up like soda pop,tt12735338,movie,"A meeting and romance starts between two people with communication issues - a boy who wears headphones and uses haiku poems, and a girl who wears a mask and only does online videos.",2020,TV-PG,87 min,"Animation, Drama, Music",Japan,tt12735338,6.8,"4,002",words bubble up like soda pop
360,the twilight saga: eclipse,tt1325004,movie,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",2010,PG-13,124 min,"Action, Adventure, Drama",United States,tt1325004,5.0,"246,751",the twilight saga: eclipse
361,the twilight saga: breaking dawn - part 1,tt1324999,movie,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",2011,PG-13,117 min,"Adventure, Drama, Fantasy",United States,tt1324999,4.9,"241,120",the twilight saga: breaking dawn - part 1
362,a classic horror story,tt12877640,movie,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",2021,TV-MA,95 min,"Drama, Horror, Mystery",Italy,tt12877640,5.7,"18,616",a classic horror story
